0x004306dc	StgCreateDocfileOnILockBytes
0x004306fc	CreateILockBytesOnHGlobal
0x00430718	CoTaskMemFree
0x00430728	CoTaskMemAlloc
0x0043073a	OleInitialize
0x0043074a	OleUninitialize
0x0043075c	CoFreeUnusedLibraries
0x00430774	CoRegisterMessageFilter
0x0043078e	CoRevokeClassObject
0x004307a4	OleFlushClipboard
0x004307b8	OleIsCurrentClipboard
0x004307ce	ole32.dll
0x004307d8	OLEPRO32.DLL
0x004307e6	OLEAUT32.dll
0x004307f4	VERSION.dll
0x00430802	GetProfileStringA
0x00430816	IsWindowUnicode
0x00430828	DefDlgProcA
0x00430836	DrawFocusRect
0x00430846	ExcludeUpdateRgn
0x0043085a	ShowCaret
0x00430866	HideCaret
0x00430872	UnregisterClassA
0x00430886	GetTextExtentPointA
0x004310d8	.PAVCFileException@@
0x004310f8	.PAVCException@@
0x0043110c	BITMAP is NULL.
0x0043158c	exe\G7MTClient.exe
0x004315a0	Install
0x00431660	TITLE_BG
0x0043166c	SETUP.EXE
0x0043168c	%s\n%s
0x00431694	\DirectX9
0x004316a8	.?AVCObject@@
0x004316c0	.?AVCCmdTarget@@
0x004316e0	.?AVCWnd@@
0x004316f8	.?AVCDialog@@
0x00431710	.?AVCCmdUI@@
0x00431728	.?AVCTestCmdUI@@
0x00431748	.PAVCUserException@@
0x00431768	.?AVCTempWnd@@
0x00431780	.?AVCNoTrackObject@@
0x004317a0	.?AV_AFX_CTL3D_STATE@@
0x004317e8	.?AVCButton@@
0x00431800	.?AVCDC@@
0x00431818	.?AVCClientDC@@
0x00431830	.?AVCWindowDC@@
0x00431848	.?AVCPaintDC@@
0x00431860	.?AVCGdiObject@@
0x00431880	.?AVCPen@@
0x00431898	.?AVCTempDC@@
0x004318b0	.?AVCTempGdiObject@@
0x004318d0	.PAX
0x004318e0	.PAVCObject@@
0x004318f8	.PAVCSimpleException@@
0x00431918	.PAVCResourceException@@
0x00431940	.?AVCException@@
0x00431960	.?AVCSimpleException@@
0x00431980	.?AVCResourceException@@
0x004319a8	.?AVCUserException@@
0x004319c8	.PAVCMemoryException@@
0x004319e8	.PAVCNotSupportedException@@
0x00431a10	.?AVCMemoryException@@
0x00431a30	.?AVCNotSupportedException@@
0x00431a58	.?AVCFileException@@
0x00431a78	.?AVCFile@@
0x00431a90	.?AV_AFX_THREAD_STATE@@
0x00431ab0	.?AVAFX_MODULE_STATE@@
0x00431ad0	.?AVAFX_MODULE_THREAD_STATE@@
0x00431af8	.?AV_AFX_BASE_MODULE_STATE@@
0x00431b38	.?AVCStringList@@
0x00431b58	.?AV_AFX_WIN_STATE@@
0x00431b78	.?AVCWinThread@@
0x00431b98	.?AVCWinApp@@
0x00431bb0	.?AV_AFX_CTL3D_THREAD@@
0x00431bd0	.?AVCOccManager@@
0x00431bf0	.?AVCMenu@@
0x00431c08	.?AVCTempMenu@@
0x00431c20	.?AUCThreadData@@
0x00431c40	.?AVCHandleMap@@
0x00431c60	.?AVCMapPtrToPtr@@
0x00431c80	.?AVCPtrList@@
0x00431c98	.PAVCArchiveException@@
0x00431cc0	.?AUIOleWindow@@
0x00431ce0	.?AUIOleInPlaceUIWindow@@
0x00431d08	.?AUIOleInPlaceFrame@@
0x00431d28	.?AVXOleIPFrame@COleControlContainer@@
0x00431d58	.?AVCOleControlContainer@@
0x00431d80	.?AUIUnknown@@
0x00431d98	.?AUIParseDisplayName@@
0x00431db8	.?AUIOleContainer@@
0x00431dd8	.?AVXOleContainer@COleControlContainer@@
0x00431e10	.?AVCFont@@
0x00431e28	.?AVCEnumArray@@
0x00431e48	.?AVCEnumUnknown@@
0x00431e68	.?AVXAmbientProps@COleControlSite@@
0x00431e98	.?AUIOleControlSite@@
0x00431eb8	.?AVXOleControlSite@COleControlSite@@
0x00431ee8	.?AUIOleInPlaceSite@@
0x00431f08	.?AVXOleIPSite@COleControlSite@@
0x00431f38	.?AUIOleClientSite@@
0x00431f58	.?AVXOleClientSite@COleControlSite@@
0x00431f88	.?AUIRowsetNotify@@
0x00431fa8	.?AVXRowsetNotify@COleControlSite@@
0x00431fd8	.?AUINotifyDBEvents@@
0x00431ff8	.?AVXNotifyDBEvents@COleControlSite@@
0x00432028	.?AUIBoundObjectSite@@
0x00432048	.?AVXBoundObjectSite@COleControlSite@@
0x00432078	.?AUIDispatch@@
0x00432090	.?AVXEventSink@COleControlSite@@
0x004320c0	.?AVCOleControlSite@@
0x004320e0	.?AUIPropertyNotifySink@@
0x00432108	.?AVXPropertyNotifySink@COleControlSite@@
0x00432140	.?AVCDataSourceControl@@
0x00432198	.?AVCMemFile@@
0x004321b0	.?AVCArchiveException@@
0x004321d0	.PAVCOleException@@
0x004321f0	.?AVCOleDispatchException@@
0x00432218	.PAVCOleDispatchException@@
0x00432270	.?AUIEnumVOID@@
0x00432288	.?AVXEnumVOID@CEnumArray@@
0x004322b0	.?AUISequentialStream@@
0x004322d0	.?AUIStream@@
0x004322e8	.?AVCArchiveStream@@
0x00432308	.?AVCOleException@@
0x00432328	.?AVCOleMessageFilter@@
0x00432348	.?AUIMessageFilter@@
0x00432368	.?AVXMessageFilter@COleMessageFilter@@
0x00432398	.?AVCCommonDialog@@
0x004323b8	.?AVCOleDialog@@
0x004323d8	.?AVCOleBusyDialog@@
0x004323f8	.?AV_AFX_OLE_STATE@@
0x00432428	.?AVtype_info@@
0x00435534	hangeul
0x0043553c	kanji
0x00435544	english
0x0043554c	roman
0x00435554	hangeulmenu
0x00435560	kanjimenu
0x0043556c	windows
0x00435574	C3dHNew
0x0043557c	C3dLNew
0x00435584	C3dNew
0x004355a8	#32770
0x004355b4	DisableThreadLibraryCalls
0x004355d0	KERNEL32.DLL
0x0043b048	GroupIcon
0x0046a910	Dialog
0x0046aa70	Dialog
0x0046ab78	Dialog
0x0046ae50	Dialog
0x0046afb0	Dialog
0x0046b11a	StringFileInfo
0x0046b13e	041104b0
0x0046b156	Comments
0x0046b16e	CompanyName
0x0046b188	ボーステック株式会社
0x0046b1a6	FileDescription
0x0046b1c8	銀河英雄伝説VIIゲームスタータ
0x0046b1f2	FileVersion
0x0046b20c	1, 0, 0, 1
0x0046b22a	InternalName
0x0046b244	G7Start
0x0046b25a	LegalCopyright
0x0046b278	Copyright (C) 2004 BOTHTEC All rights reserved.
0x0046b2de	LegalTrademarks
0x0046b306	OriginalFilename
0x0046b328	G7Start.EXE
0x0046b346	PrivateBuild
0x0046b366	ProductName
0x0046b380	銀河英雄伝説VIIゲームスタータ
0x0046b3aa	ProductVersion
0x0046b3c8	1, 0, 0, 1
0x0046b3e6	SpecialBuild
0x0046b406	VarFileInfo
0x0046b426	Translation
0x0046bc48	Dialog
0x0046c0a8	
0x0046c0aa	
0x0046c0ac	
0x0046c0ae	
