0x004485e8	FillRect
0x004485f4	SetForegroundWindow
0x0044860a	FindWindowA
0x00448618	DestroyIcon
0x00448626	SetTimer
0x00448632	GetDialogBaseUnits
0x00448648	GetSystemMetrics
0x0044865c	LoadIconA
0x00448668	KillTimer
0x00448674	DrawIcon
0x00448680	IsIconic
0x0044868c	GetWindowRect
0x0044869c	GetWindowPlacement
0x004486b2	SystemParametersInfoA
0x004486ca	IntersectRect
0x004486da	RegisterWindowMessageA
0x004486f4	SetWindowPos
0x00448704	SetWindowLongA
0x00448716	GetWindowLongA
0x00448728	GetWindow
0x00448734	GetForegroundWindow
0x0044874a	GetLastActivePopup
0x00448760	GetMessagePos
0x00448770	GetMessageTime
0x00448782	RemovePropA
0x00448790	CallWindowProcA
0x004487a2	GetPropA
0x004487ae	UnhookWindowsHookEx
0x004487c4	SetPropA
0x004487d0	GetClassLongA
0x004487e0	CallNextHookEx
0x004487f2	SetWindowsHookExA
0x00448806	CreateWindowExA
0x00448818	DestroyWindow
0x00448828	DefWindowProcA
0x0044883a	GetKeyState
0x00448848	GetDlgCtrlID
0x00448858	GetWindowTextA
0x0044886a	GetWindowTextLengthA
0x00448882	GetDlgItem
0x00448890	GetMenuItemID
0x004488a0	GetSubMenu
0x004488ae	GetMenuItemCount
0x004488c2	GetMenu
0x004488cc	RegisterClassA
0x004488de	GetClassInfoA
0x004488ee	WinHelpA
0x004488fa	GetCapture
0x00448908	MessageBoxA
0x00448916	GetTopWindow
0x00448926	IsWindowVisible
0x00448938	ScreenToClient
0x0044894a	AdjustWindowRectEx
0x00448960	SetFocus
0x0044896c	IsWindow
0x00448978	SetActiveWindow
0x0044898a	GetFocus
0x00448996	DispatchMessageA
0x004489aa	PeekMessageA
0x004489ba	MapWindowPoints
0x004489cc	SendDlgItemMessageA
0x004489e2	UpdateWindow
0x004489f2	IsDialogMessageA
0x00448a06	SetWindowTextA
0x00448a18	MoveWindow
0x00448a26	ShowWindow
0x00448a34	IsWindowEnabled
0x00448a46	GetNextDlgTabItem
0x00448a5a	EnableMenuItem
0x00448a6c	CheckMenuItem
0x00448a7c	SetMenuItemBitmaps
0x00448a92	ModifyMenuA
0x00448aa0	GetMenuState
0x00448ab0	LoadBitmapA
0x00448abe	GetMenuCheckMarkDimensions
0x00448adc	ClientToScreen
0x00448aee	GetWindowDC
0x00448afc	BeginPaint
0x00448b0a	EndPaint
0x00448b16	TabbedTextOutA
0x00448b28	DrawTextA
0x00448b34	GrayStringA
0x00448b42	GetCursorPos
0x00448b52	ValidateRect
0x00448b62	GetActiveWindow
0x00448b74	TranslateMessage
0x00448b88	GetMessageA
0x00448b96	CharUpperA
0x00448ba4	InflateRect
0x00448bb2	PostQuitMessage
0x00448bc4	SetCursor
0x00448bd0	CreateDialogIndirectParamA
0x00448bee	EndDialog
0x00448bfa	LoadStringA
0x00448c08	GetClassNameA
0x00448c18	PtInRect
0x00448c24	GetSysColorBrush
0x00448c38	DestroyMenu
0x00448c44	USER32.dll
0x00448c52	GetTextMetricsA
0x00448c64	SelectPalette
0x00448c74	CreatePalette
0x00448c84	RealizePalette
0x00448c96	GetObjectA
0x00448ca4	CreateCompatibleBitmap
0x00448cbe	CreateDIBitmap
0x00448cd0	CreateCompatibleDC
0x00448ce6	BitBlt
0x00448cf0	GetTextExtentPoint32A
0x00448d08	CreateFontA
0x00448d16	CreateSolidBrush
0x00448d2a	GetClipBox
0x00448d38	SetTextColor
0x00448d48	SetBkColor
0x00448d56	CreateBitmap
0x00448d66	DeleteDC
0x00448d72	SaveDC
0x00448d7c	RestoreDC
0x00448d88	SelectObject
0x00448d98	GetStockObject
0x00448daa	SetBkMode
0x00448db6	SetMapMode
0x00448dc4	SetViewportOrgEx
0x00448dd8	OffsetViewportOrgEx
0x00448dee	SetViewportExtEx
0x00448e02	ScaleViewportExtEx
0x00448e18	SetWindowExtEx
0x00448e2a	ScaleWindowExtEx
0x00448e3e	IntersectClipRect
0x00448e52	MoveToEx
0x00448e5e	LineTo
0x00448e68	SetTextAlign
0x00448e78	DeleteObject
0x00448e88	GetDeviceCaps
0x00448e98	CreatePen
0x00448ea4	PtVisible
0x00448eb0	RectVisible
0x00448ebe	TextOutA
0x00448eca	ExtTextOutA
0x00448ed8	Escape
0x00448ee2	PatBlt
0x00448eea	GDI32.dll
0x00448ef6	GetFileTitleA
0x00448f04	comdlg32.dll
0x00448f14	ClosePrinter
0x00448f24	DocumentPropertiesA
0x00448f3a	OpenPrinterA
0x00448f48	WINSPOOL.DRV
0x00448f58	RegQueryValueExA
0x00448f6c	RegCloseKey
0x00448f7a	RegCreateKeyExA
0x00448f8c	RegOpenKeyExA
0x00448f9c	RegSetValueExA
0x00448fac	ADVAPI32.dll
0x00448fbc	SHGetFileInfoA
0x00448fcc	SHELL32.dll
0x00448fda	_TrackMouseEvent
0x00448fec	COMCTL32.dll
0x00448ffc	CoInitialize
0x0044900c	CoUninitialize
0x0044901c	ole32.dll
0x00449028	InterlockedExchange
0x0044903e	CreateDirectoryA
0x00449052	GetTempPathA
0x00449062	RemoveDirectoryA
0x00449076	FindNextFileA
0x00449086	GetProfileStringA
0x0044909a	IsWindowUnicode
0x004490ac	CharNextA
0x004490b8	DefDlgProcA
0x004490c6	DrawFocusRect
0x004490d6	ExcludeUpdateRgn
0x004490ea	ShowCaret
0x004490f6	HideCaret
0x00449102	UnregisterClassA
0x00449116	GetTextExtentPointA
0x0044912a	WSOCK32.dll
0x00449138	timeBeginPeriod
0x0044914a	timeGetTime
0x00449158	timeGetDevCaps
0x0044916a	timeEndPeriod
0x00449178	WINMM.dll
0x00449184	TerminateThread
0x0044a240	.?AVCSE@@
0x0044a250	  ESP:%08x EBP:%08x ESI:%08x EDI:%08x\n
0x0044a278	  EAX:%08x EBX:%08x ECX:%08x EDX:%08x\n
0x0044a2a0	  GS:%08x SS:%08x EFlags:%08x\n
0x0044a2c0	  CS:%08x DS:%08x ES:%08x FS:%08x\n
0x0044a2e4	  Information[%d]  :%08x\n
0x0044a300	  ExceptionAddress:%08x\n
0x0044a31c	  ExceptionFlags  :%08x\n
0x0044a338	  ExceptionCode   :%08x\n
0x0044a354	%s - EXCEPTION ERROR\n
0x0044a36c	%Y/%m/%d %H:%M:%S
0x0044a380	\n[mpsUniMessageFactory] out of memory ...\n\n
0x0044a3ac	Finished!\n\n
0x0044a3b8	[mpsUniMessageFactory] creating message objects...  
0x0044a3f0	[mpsUniMessageFactory] produce_message: unsupported message format\n\n
0x0044a438	[mpsUniMessageFactory] recycle_message: unsupported message format\n\n
0x0044a488	.PAVCFileException@@
0x0044a4a8	.PAVCException@@
0x0044a4bc	BITMAP is NULL.
0x0044a4d8	.PAVCResourceException@@
0x0044a4f4	UpdateClient.err
0x0044a50c	#32770
0x0044a514	.\exe\
0x0044a51c	.\exe\G7MTClient.exe
0x0044a538	47902
0x0044a540	202.8.80.179
0x0044a550	WORK_DIR
0x0044a55c	STARTUP_APPNAME
0x0044a56c	TEMP_DIR
0x0044a578	BASE_DIR
0x0044a584	PROXY_PORT
0x0044a590	PROXY_ADDRESS
0x0044a5a0	SERVER_PORT
0x0044a5ac	SERVER_ADDRESS
0x0044a5bc	UPDATE
0x0044a5c4	VERSION
0x0044a5e8	%sSERVER.INI
0x0044a5f8	(000/000) 
0x0044a604	TITLE_BG
0x0044a610	(%3d/%3d)\t%s:%s\r\n
0x0044a624	%.1f%s
0x0044a63c	Gin7UpdateClient.new
0x0044a654	LAST_ERROR
0x0044a660	0x%08x
0x0044a668	UPDATE.LOG
0x0044a688	.?AVCObject@@
0x0044a6a0	.?AVCCmdTarget@@
0x0044a6c0	.?AVCWnd@@
0x0044a6d8	.?AVCCmdUI@@
0x0044a6f0	.?AVCTestCmdUI@@
0x0044a710	.PAVCUserException@@
0x0044a730	.?AVCTempWnd@@
0x0044a748	.?AVCNoTrackObject@@
0x0044a768	.?AV_AFX_CTL3D_STATE@@
0x0044a788	.?AVCButton@@
0x0044a7c8	.?AVCDC@@
0x0044a7e0	.?AVCClientDC@@
0x0044a7f8	.?AVCPaintDC@@
0x0044a810	.?AVCGdiObject@@
0x0044a830	.?AVCPen@@
0x0044a848	.?AVCBrush@@
0x0044a860	.?AVCTempDC@@
0x0044a878	.?AVCTempGdiObject@@
0x0044a898	.PAX
0x0044a8a8	.PAVCObject@@
0x0044a8c0	.PAVCSimpleException@@
0x0044a8e0	.?AVCException@@
0x0044a900	.?AVCSimpleException@@
0x0044a920	.?AVCResourceException@@
0x0044a948	.?AVCUserException@@
0x0044a968	.?AVCWinThread@@
0x0044a988	.?AV_AFX_CTL3D_THREAD@@
0x0044a9a8	.PAVCMemoryException@@
0x0044a9c8	.PAVCNotSupportedException@@
0x0044a9f0	.?AVCMemoryException@@
0x0044aa10	.?AVCNotSupportedException@@
0x0044aa38	.?AVCFileException@@
0x0044aa58	.?AVCFile@@
0x0044aa70	.?AV_AFX_THREAD_STATE@@
0x0044aa90	.?AVAFX_MODULE_STATE@@
0x0044aab0	.?AVAFX_MODULE_THREAD_STATE@@
0x0044aad8	.?AV_AFX_BASE_MODULE_STATE@@
0x0044ab08	.?AV_AFX_WIN_STATE@@
0x0044ab28	.?AVCWinApp@@
0x0044ab40	.?AVCDialog@@
0x0044ab58	.PAVCArchiveException@@
0x0044ab90	.?AVCStringList@@
0x0044abb0	.?AVCStdioFile@@
0x0044abd0	.?AUCThreadData@@
0x0044abf0	.?AVCHandleMap@@
0x0044ac10	.?AVCMapPtrToPtr@@
0x0044ac30	.?AVCMenu@@
0x0044ac48	.?AVCTempMenu@@
0x0044ac60	.?AVCArchiveException@@
0x0044ac90	.?AVtype_info@@
0x0044dc58	.?AVexception@@
0x0044dc70	.?AVlogic_error@std@@
0x0044dc90	.?AVlength_error@std@@
0x0044dcb0	.?AVout_of_range@std@@
0x0044dcd8	.?AVios_base@std@@
0x0044dcf8	.?AV?$basic_ios@DU?$char_traits@D@std@@@std@@
0x0044dd30	.?AV?$basic_istream@DU?$char_traits@D@std@@@std@@
0x0044dd70	.?AV?$basic_ostream@DU?$char_traits@D@std@@@std@@
0x0044ddb0	.?AV?$basic_streambuf@DU?$char_traits@D@std@@@std@@
0x0044ddf0	.?AV?$basic_filebuf@DU?$char_traits@D@std@@@std@@
0x0044de30	.?AVruntime_error@std@@
0x0044de50	.?AVfailure@ios_base@std@@
0x0044de78	.?AV?$basic_ios@GU?$char_traits@G@std@@@std@@
0x0044deb0	.?AV?$basic_istream@GU?$char_traits@G@std@@@std@@
0x0044def0	.?AV?$basic_ostream@GU?$char_traits@G@std@@@std@@
0x0044df30	.?AV?$basic_filebuf@GU?$char_traits@G@std@@@std@@
0x0044df70	.?AV?$basic_streambuf@GU?$char_traits@G@std@@@std@@
0x0044dfb0	.?AVfacet@locale@std@@
0x0044dfd0	.?AV_Locimp@locale@std@@
0x0044e280	[mtStack] Overflow!!\n
0x0044e298	[mtStack] expand: out of memory\n\n
0x0044e2bc	[mpsMessage] mpsMessage: out of memory\n\n
0x0044e2e8	[mpsMessage] initialize: lock remained\n
0x0044e310	[mpsMessage] input: out of memory\n\n
0x0044e334	[mpsMessage] lock_parameter_input_buffer: multiply locked\n
0x0044e370	[mpsMessage] lock_parameter_output_buffer: multiply locked\n
0x0044e3ac	[mpsMessage] clear_parameter_buffer: cannot clear, now locking\n
0x0044e3ec	[mpsClientConnection] mpsMessageFactory: failed initialized\n
0x0044e42c	size over [%d] (max msg size:[%d])\n\n
0x0044e454	%s.%03d
0x0044e45c	%supd_temp_%08d
0x0044e46c	[mpsUpdateClientProcessor] msg_get_update_info_ok: bad update info\n\n
0x0044e4b8	out of memory\n\n
0x0044e4e0	.PAVmtStreamInputException@@
0x0044e508	.PAVmtStreamOutputException@@
0x0044e530	hangeul
0x0044e538	kanji
0x0044e540	english
0x0044e548	roman
0x0044e550	hangeulmenu
0x0044e55c	kanjimenu
0x0044e568	windows
0x0044e570	C3dHNew
0x0044e578	C3dLNew
0x0044e580	C3dNew
0x0044e5a8	DisableThreadLibraryCalls
0x0044e5c4	KERNEL32.DLL
0x0044e5d4	[mtNetStreamOutputBuffer] operator << (uint8_t): buffer overflow\n
